,Institution,Found Year,Total Students,Total International Students,Undergraduate Students,Undergraduate International Students,Graduate Students,Graduate International Students
0,Tsinghua University,1911,56939,3926,15707,1494,32298,2432
0,Peking University,1898,52326,3269,16253,1644,24954,1625
0,Zhejiang University,1897,65605,4479,25924,2676,28048,1803
0,Shanghai Jiao Tong University,1896,42010,2837,17505,1154,24505,1683
0,Fudan University,1905,38340,2534,14656,1460,23684,1074
0,Nanjing University,1902,36625,1144,13196,704,17393,440
0,University of Science and Technology of China,1958,36651,833,7372,8,22451,825
0,Huazhong University of Science and Technology,1952,56782,2796,30736,1274,26046,1522
0,Wuhan University,1893,59329,2908,31412,2120,27917,788
0,Xi'an Jiaotong University,1896,46730,2194,18700,1004,21826,1190
0,Sun Yat-Sen University,1924,54996,2714,32973,2073,22023,641
0,Sichuan University,1896,55419,3150,31098,2357,24321,793
0,Harbin Institute of Technology,1920,36258,1772,15675,674,14200,1098
0,Beihang University,1952,31774,1602,16306,641,15468,961
0,Southeast University,1902,36710,1523,16982,739,19728,784
0,Beijing Institute of Technology,1940,28771,1416,15429,702,13342,714
0,Tongji University,1907,41752,1948,18115,1043,17871,905
0,Renmin University of China,1937,26809,1663,10197,905,12192,758
0,Beijing Normal University,1902,24880,1239,11190,660,13690,579
0,Nankai University,1919,31718,1127,16046,609,11810,518
0,Tianjin University,1895,41091,1647,19099,959,17327,688
0,Shandong University,1901,66652,2312,41037,991,20410,1321
0,Central South University,2000,63655,1387,34052,384,22472,1003
0,Xiamen University,1921,38803,1443,20327,793,18476,650
0,Northwestern Polytechnical University,1938,28990,1060,15457,494,13533,566
0,South China University of Technology,1952,43758,1423,24646,915,15893,508
0,Jilin University,1946,71755,1571,42609,1009,29146,562
0,University of Electronic Science and Technology of China,1956,32763,1112,19763,264,13000,848
0,Hunan University,1926,36551,783,20600,157,15951,626
0,China Agricultural University,1905,22167,312,12204,22,9963,290
0,East China Normal University,1951,35817,1906,15743,1189,20074,717
0,Dalian University of Technology,1949,42146,914,25817,314,16329,600
0,Southern University of Science and Technology,2009,5408,33,4178,33,939,0.0%
0,Chongqing University,1929,43225,650,25874,127,14644,523
0,University of Science and Technology Beijing,1952,27377,1082,13661,431,10440,651
0,Nanjing University of Science and Technology,1953,29139,1056,16170,538,11259,518
0,Nanjing University of Aeronautics and Astronautics,1952,30804,1251,18983,786,10032,465
0,Northeastern University,1923,38029,690,20442,243,17587,447
