,Rank,Institution,Region,Total Score
0,1,Tsinghua University,Beijing,1004.1
1,2,Peking University,Beijing,910.5
2,3,Zhejiang University,Zhejiang,822.9
3,4,Shanghai Jiao Tong University,Shanghai,778.6
4,5,Fudan University,Shanghai,712.4
5,6,Nanjing University,Jiangsu,676.2
6,7,University of Science and Technology of China,Anhui,608.6
7,8,Huazhong University of Science and Technology,Hubei,606.2
8,9,Wuhan University,Hubei,599.1
9,10,Xi'an Jiaotong University,Shaanxi,572.6
10,11,Sun Yat-Sen University,Guangdong,570.0
11,12,Sichuan University,Sichuan,546.9
12,13,Harbin Institute of Technology,Heilongjiang,544.2
13,14,Beihang University,Beijing,543.5
14,15,Southeast University,Jiangsu,532.3
15,16,Beijing Institute of Technology,Beijing,529.3
16,17,Tongji University,Shanghai,527.0
17,18,Renmin University of China,Beijing,526.3
18,19,Beijing Normal University,Beijing,523.4
19,20,Nankai University,Tianjin,490.4
20,21,Tianjin University,Tianjin,480.5
21,22,Shandong University,Shandong,472.8
22,23,Central South University,Hunan,466.1
23,24,Xiamen University,Fujian,463.2
24,25,Northwestern Polytechnical University,Shaanxi,462.0
25,26,South China University of Technology,Guangdong,444.2
26,27,Jilin University,Jilin,439.1
27,28,University of Electronic Science and Technology of China,Sichuan,437.0
28,29,Hunan University,Hunan,435.5
29,30,China Agricultural University,Beijing,432.8
30,31,East China Normal University,Shanghai,428.2
31,32,Dalian University of Technology,Liaoning,417.4
32,33,Southern University of Science and Technology,Guangdong,413.0
33,34,Chongqing University,Chongqing,397.7
34,35,University of Science and Technology Beijing,Beijing,382.8
35,36,Nanjing University of Science and Technology,Jiangsu,381.2
36,37,Nanjing University of Aeronautics and Astronautics,Jiangsu,376.6
37,38,Northeastern University,Liaoning,369.4
38,39,Xidian University,Shaanxi,363.8
39,40,Lanzhou University,Gansu,362.2
40,40,Soochow University (China),Jiangsu,362.2
41,42,Huazhong Agricultural University,Hubei,361.0
42,43,Beijing jiaotong University,Beijing,346.9
43,44,East China University of Science and Technology,Shanghai,346.1
44,45,ShanghaiTech University,Shanghai,343.3
45,46,Zhengzhou University,Henan,336.5
46,47,Central China Normal University,Hubei,334.2
47,48,Shanghai University,Shanghai,333.2
48,49,Harbin Engineering University,Heilongjiang,332.6
49,50,Jinan University,Guangdong,332.4
50,51,Nanjing Agricultural University,Jiangsu,330.7
51,52,China University of Petroleum - Beijing,Beijing,330.1
52,53,Northeast Normal University,Jilin,327.2
53,54,Wuhan University of Technology,Hubei,326.1
