,Rank,Institution,Region,Total Score,Founding Year,Total Students,Total International Students,Undergraduate Students,Undergraduate International Students,Graduate Students,Graduate International Students
0,1,Tsinghua University,Beijing,1004.1,1911,56939,3926,15707,1494,32298,2432
1,2,Peking University,Beijing,910.5,1898,52326,3269,16253,1644,24954,1625
2,3,Zhejiang University,Zhejiang,822.9,1897,65605,4479,25924,2676,28048,1803
3,4,Shanghai Jiao Tong University,Shanghai,778.6,1896,42010,2837,17505,1154,24505,1683
4,5,Fudan University,Shanghai,712.4,1905,38340,2534,14656,1460,23684,1074
5,6,Nanjing University,Jiangsu,676.2,1902,36625,1144,13196,704,17393,440
6,7,University of Science and Technology of China,Anhui,608.6,1958,36651,833,7372,8,22451,825
7,8,Huazhong University of Science and Technology,Hubei,606.2,1952,56782,2796,30736,1274,26046,1522
8,9,Wuhan University,Hubei,599.1,1893,59329,2908,31412,2120,27917,788
9,10,Xi'an Jiaotong University,Shaanxi,572.6,1896,46730,2194,18700,1004,21826,1190
10,11,Sun Yat-Sen University,Guangdong,570.0,1924,54996,2714,32973,2073,22023,641
11,12,Sichuan University,Sichuan,546.9,1896,55419,3150,31098,2357,24321,793
12,13,Harbin Institute of Technology,Heilongjiang,544.2,1920,36258,1772,15675,674,14200,1098
13,14,Beihang University,Beijing,543.5,1952,31774,1602,16306,641,15468,961
14,15,Southeast University,Jiangsu,532.3,1902,36710,1523,16982,739,19728,784
15,16,Beijing Institute of Technology,Beijing,529.3,1940,28771,1416,15429,702,13342,714
16,17,Tongji University,Shanghai,527.0,1907,41752,1948,18115,1043,17871,905
17,18,Renmin University of China,Beijing,526.3,1937,26809,1663,10197,905,12192,758
18,19,Beijing Normal University,Beijing,523.4,1902,24880,1239,11190,660,13690,579
19,20,Nankai University,Tianjin,490.4,1919,31718,1127,16046,609,11810,518
20,21,Tianjin University,Tianjin,480.5,1895,41091,1647,19099,959,17327,688
21,22,Shandong University,Shandong,472.8,1901,66652,2312,41037,991,20410,1321
22,23,Central South University,Hunan,466.1,2000,63655,1387,34052,384,22472,1003
23,24,Xiamen University,Fujian,463.2,1921,38803,1443,20327,793,18476,650
24,25,Northwestern Polytechnical University,Shaanxi,462.0,1938,28990,1060,15457,494,13533,566
25,26,South China University of Technology,Guangdong,444.2,1952,43758,1423,24646,915,15893,508
26,27,Jilin University,Jilin,439.1,1946,71755,1571,42609,1009,29146,562
27,28,University of Electronic Science and Technology of China,Sichuan,437.0,1956,32763,1112,19763,264,13000,848
28,29,Hunan University,Hunan,435.5,1926,36551,783,20600,157,15951,626
29,30,China Agricultural University,Beijing,432.8,1905,22167,312,12204,22,9963,290
30,31,East China Normal University,Shanghai,428.2,1951,35817,1906,15743,1189,20074,717
31,32,Dalian University of Technology,Liaoning,417.4,1949,42146,914,25817,314,16329,600
32,33,Southern University of Science and Technology,Guangdong,413.0,2009,5408,33,4178,33,939,0.0%
33,34,Chongqing University,Chongqing,397.7,1929,43225,650,25874,127,14644,523
34,35,University of Science and Technology Beijing,Beijing,382.8,1952,27377,1082,13661,431,10440,651
35,36,Nanjing University of Science and Technology,Jiangsu,381.2,1953,29139,1056,16170,538,11259,518
36,37,Nanjing University of Aeronautics and Astronautics,Jiangsu,376.6,1952,30804,1251,18983,786,10032,465
37,38,Northeastern University,Liaoning,369.4,1923,38029,690,20442,243,17587,447
38,39,Xidian University,Shaanxi,363.8,1931,36438,314,22474,177,13964,137
39,40,Lanzhou University,Gansu,362.2,1909,35629,578,19939,143,13131,435
40,40,Soochow University (China),Jiangsu,362.2,1900,42264,1127,28522,780,13742,347
41,42,Huazhong Agricultural University,Hubei,361.0,1898,29939,1084,18721,34,8829,1050
42,43,Beijing jiaotong University,Beijing,346.9,1896,30023,1528,16520,909,13503,619
43,44,East China University of Science and Technology,Shanghai,346.1,1952,26659,356,16836,138,9823,218
44,45,ShanghaiTech University,Shanghai,343.3,2013,3246,,1406,,1421,
45,46,Zhengzhou University,Henan,336.5,1956,70683,1370,54087,1183,16596,187
46,47,Central China Normal University,Hubei,334.2,1903,29847,1517,18350,511,11497,1006
47,48,Shanghai University,Shanghai,333.2,1922,37714,2195,21225,1272,16489,923
48,49,Harbin Engineering University,Heilongjiang,332.6,1953,27518,833,16421,294,8761,539
49,50,Jinan University,Guangdong,332.4,1906,45738,910,25319,766,10959,144
50,51,Nanjing Agricultural University,Jiangsu,330.7,1902,28027,495,17031,63,8974,432
51,52,China University of Petroleum - Beijing,Beijing,330.1,1953,15966,762,8639,565,7327,197
52,53,Northeast Normal University,Jilin,327.2,1946,29236,501,14716,145,14520,356
53,54,Wuhan University of Technology,Hubei,326.1,1948,53884,1352,37327,591,16557,761
54,55,Southwest Jiaotong University,Sichuan,325.1,1896,42100,544,28817,72,11586,472
55,56,China University of Mining and Technology - Xuzhou,Jiangsu,324.0,1909,33538,541,24148,376,9390,165
56,57,Beijing University of Posts and Telecommunications,Beijing,323.4,1955,26525,270,14570,100,10151,170
57,58,Nanjing Normal University,Jiangsu,322.7,1902,28339,762,17384,485,9631,277
58,59,China University of Geosciences (Wuhan),Hubei,322.5,1952,29649,840,18240,160,11409,680
59,60,Jiangnan University,Jiangsu,321.6,1958,29146,537,20191,276,7773,261
60,61,Hohai University,Jiangsu,320.9,1915,32268,1019,20047,206,12221,813
61,62,Ocean University of China,Shandong,319.8,1924,27656,524,15817,310,10048,214
62,63,Beijing University of Technology,Beijing,314.2,1960,22164,471,13731,224,8433,247
63,64,Beijing University of Chemical Technology,Beijing,309.6,1958,23338,439,15575,154,6789,285
64,65,Northwest University,Shaanxi,306.8,1902,23020,516,13551,292,8206,224
65,66,China University of Petroleum (Huadong),Shandong,304.4,1953,27631,925,18917,687,7497,238
66,67,Shaanxi Normal University,Shaanxi,301.7,1944,44831,399,17670,168,17266,231
67,68,Shenzhen University,Guangdong,301.4,1983,35145,401,27778,271,7367,130
68,69,Nanchang University,Jiangxi,299.5,1921,48939,697,34753,605,13217,92
69,70,Zhejiang University of Technology,Zhejiang,298.8,1953,27426,1438,18965,1374,7636,64
70,71,China University of Geosciences (Beijing),Beijing,296.0,1952,17361,187,8300,48,7376,139
71,72,Southwest University,Chongqing,294.5,1906,53479,1162,39116,602,12288,560
72,73,Fuzhou University,Fujian,290.6,1958,35717,572,24320,526,11397,46
73,74,Northwest A&F University,Shaanxi,288.1,1934,32099,331,20925,1,8885,330
74,75,North China Electric Power University,Beijing,287.6,1958,33591,1318,24471,821,9120,497
75,76,China University of Mining and Technology - Beijing,Beijing,284.2,1909,14694,20,7675,11,5806,9
76,77,Donghua University,Shanghai,284.0,1951,22398,872,14877,538,7521,334
77,78,Jiangsu University,Jiangsu,283.4,1902,32899,2175,24096,1237,7779,938
78,79,South China Normal University,Guangdong,281.5,1933,36648,606,25643,386,9852,220
79,80,Yunnan University,Yunnan,281.3,1922,27405,1409,16816,919,9374,490
80,81,Yangzhou University,Jiangsu,279.0,1902,41060,1514,27224,1171,13836,343
81,82,Beijing Forestry University,Beijing,278.8,1952,19240,302,13309,31,5931,271
82,83,Hefei University of Technology,Anhui,270.4,1945,42898,259,32891,80,10007,179
83,84,Ningbo University,Zhejiang,270.1,1986,23611,1820,18193,1593,5418,227
84,85,Nanjing Tech University,Jiangsu,268.5,1902,34694,317,26644,255,7249,62
